Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,172.009995,172.919998,171.399994,171.649994,171.649994,36389100
2018-07-02,170.039993,172.850006,169.669998,172.800003,172.800003,31770000
2018-07-03,173.449997,173.449997,170.630005,170.800003,170.800003,25512700
2018-07-05,171.910004,173.059998,171.029999,172.919998,172.919998,31626200
2018-07-06,173.320007,175.740005,173.000000,175.610001,175.610001,37005600
2018-07-09,176.520004,177.229996,175.820007,177.190002,177.190002,27362100
2018-07-10,177.520004,177.720001,176.710007,177.320007,177.320007,23902500
2018-07-11,175.929993,177.070007,175.800003,176.419998,176.419998,30280600
2018-07-12,177.199997,179.460007,177.080002,179.460007,179.460007,27930100
2018-07-13,179.449997,179.899994,178.949997,179.610001,179.610001,28049800
2018-07-16,179.649994,179.949997,178.880005,179.179993,179.179993,21405300
2018-07-17,177.279999,180.649994,177.279999,180.270004,180.270004,31034100
2018-07-18,180.289993,180.440002,179.380005,179.929993,179.929993,23220800
2018-07-19,179.279999,179.880005,178.820007,179.029999,179.029999,31094100
2018-07-20,179.619995,180.169998,178.789993,178.990005,178.990005,35897300
2018-07-23,178.460007,179.639999,177.740005,179.559998,179.559998,22184700
2018-07-24,181.410004,182.050003,179.559998,180.300003,180.300003,36900300
2018-07-25,180.380005,182.929993,180.289993,182.820007,182.820007,35026600
2018-07-26,180.350006,180.919998,179.809998,180.050003,180.050003,40840900
2018-07-27,181.190002,181.309998,176.600006,177.619995,177.619995,59449200
